ted's 4 site data from sifit manual
18
.0005 1.0   1.106 0.873 -0.346
.0007 0.998 1.109 0.861 -0.349
.001  0.995 1.098 0.841 -0.356
.003  0.993 1.106 0.852 -0.333
.005  0.993 1.109 0.867 -0.341
.007  0.988 1.092 0.833 -0.341
.01   0.979 1.109 0.841 -0.322
.02   0.973 1.087 0.804 -0.314
.05   0.986 1.095 0.801 -0.242
.08   1.01  1.107 0.805 -0.167
.1    1.00  1.093 0.792 -0.13
.2    1.06  1.09  0.759  0.0308
.4    1.029 1.096 0.758  0.25
.7    1.037 1.099 0.78   0.408
1.0   1.044 1.097 0.801  0.467
1.5   1.053 1.102 0.837  0.516
2.5   1.069 1.105 0.855  0.529
10    1.068 1.106 0.848  0.532
